PD1,PD2
2.132448000000000121e+00,-1.174900000000000076e-02
2.145265999999999895e+00,7.172000000000000423e-03
2.158999000000000112e+00,-1.937900000000000039e-02
2.155946999999999836e+00,-8.392000000000000154e-03
2.133058999999999816e+00,-1.174900000000000076e-02
2.155336999999999836e+00,-5.341000000000000261e-03
2.160829999999999806e+00,1.235999999999999946e-02
2.154116000000000142e+00,-1.083399999999999988e-02
2.154116000000000142e+00,-1.022400000000000045e-02
2.178224999999999856e+00,-1.530000000000000056e-04
2.148928000000000171e+00,-2.334599999999999870e-02
2.141909000000000063e+00,-1.754800000000000110e-02
2.148318000000000172e+00,-3.005999999999999991e-02
2.172121999999999886e+00,-3.158600000000000296e-02
2.152590000000000003e+00,-1.052900000000000016e-02
2.147097000000000033e+00,1.388600000000000077e-02
2.149233000000000171e+00,3.402800000000000269e-02
2.145570999999999895e+00,4.684499999999999775e-02
2.136416000000000093e+00,2.060000000000000026e-02
2.147707000000000033e+00,5.035000000000000413e-03
2.159609000000000112e+00,5.035000000000000413e-03
2.194094999999999906e+00,-1.083399999999999988e-02
2.198977999999999877e+00,-1.373000000000000088e-03
2.158082999999999974e+00,7.630000000000000063e-04
2.159914999999999807e+00,2.181999999999999912e-02
2.143130000000000202e+00,3.433300000000000241e-02
2.151675000000000004e+00,3.494300000000000184e-02
2.151368999999999865e+00,1.632700000000000123e-02
2.155031999999999837e+00,2.761900000000000119e-02
2.155946999999999836e+00,2.945000000000000048e-02
2.168765000000000054e+00,2.487199999999999828e-02
2.161134999999999806e+00,2.456699999999999856e-02
2.164492000000000083e+00,1.388600000000000077e-02
2.155336999999999836e+00,2.334599999999999870e-02
2.173341999999999885e+00,5.111799999999999677e-02
2.147707000000000033e+00,3.799500000000000099e-02
2.153506000000000142e+00,6.240899999999999920e-02
2.174258000000000024e+00,6.454600000000000615e-02
2.185245000000000104e+00,5.630600000000000188e-02
2.167543999999999915e+00,5.325400000000000272e-02
2.168765000000000054e+00,3.524800000000000155e-02
2.183107999999999826e+00,3.494300000000000184e-02
2.192874000000000212e+00,2.670300000000000104e-02
2.196231000000000044e+00,1.937900000000000039e-02
2.180362000000000133e+00,3.860500000000000043e-02
2.180972000000000133e+00,4.592999999999999861e-02
2.185245000000000104e+00,5.752700000000000174e-02
2.193484000000000211e+00,4.928699999999999748e-02
2.176394000000000162e+00,6.912300000000000388e-02
2.180667000000000133e+00,7.370100000000000262e-02
2.196536000000000044e+00,7.522700000000000220e-02
2.164492000000000083e+00,7.309100000000000319e-02
2.181887999999999828e+00,4.867599999999999705e-02
2.184633999999999965e+00,5.050700000000000328e-02
2.200809000000000015e+00,6.271500000000000685e-02
2.191043000000000074e+00,5.569500000000000145e-02
2.197452000000000183e+00,6.881800000000000417e-02
2.198672000000000182e+00,7.003900000000000403e-02
2.191348000000000074e+00,8.377199999999999924e-02
2.200809000000000015e+00,9.628399999999999459e-02
2.198672000000000182e+00,8.499299999999999911e-02
2.209963999999999817e+00,7.827900000000000136e-02
2.220950999999999897e+00,9.201199999999999657e-02
2.186465000000000103e+00,1.060500000000000054e-01
2.199282999999999877e+00,8.682399999999999840e-02
2.206606999999999985e+00,1.069660000000000055e-01
2.203555000000000152e+00,9.231699999999999628e-02
2.215762999999999927e+00,8.224599999999999966e-02
2.195009999999999906e+00,7.492200000000000248e-02
2.210879999999999956e+00,9.445299999999999530e-02
2.233462999999999976e+00,9.262199999999999600e-02
2.181582000000000132e+00,1.039140000000000064e-01
2.207218000000000124e+00,1.206990000000000007e-01
2.205996999999999986e+00,1.368729999999999947e-01
2.211794999999999956e+00,1.264969999999999983e-01
2.214846999999999788e+00,9.903099999999999403e-02
2.212711000000000094e+00,1.066610000000000058e-01
2.213626000000000094e+00,1.118490000000000040e-01
2.210574999999999957e+00,1.158160000000000023e-01
2.243533999999999917e+00,1.008619999999999933e-01
2.224308000000000174e+00,1.243609999999999993e-01
2.225223000000000173e+00,1.161210000000000020e-01
2.218509000000000064e+00,1.045240000000000058e-01
2.240787000000000084e+00,1.075760000000000050e-01
2.237429999999999808e+00,1.258869999999999989e-01
2.246586000000000194e+00,9.445299999999999530e-02
2.217899000000000065e+00,1.194780000000000009e-01
2.241397999999999779e+00,1.191730000000000012e-01
2.231631999999999838e+00,1.084920000000000051e-01
2.210268999999999817e+00,1.347369999999999957e-01
2.219120000000000203e+00,1.371789999999999954e-01
2.214846999999999788e+00,1.506069999999999909e-01
2.221865999999999897e+00,1.490809999999999913e-01
2.241702999999999779e+00,1.338219999999999965e-01
2.236209999999999809e+00,1.390099999999999947e-01
2.233462999999999976e+00,1.417559999999999931e-01
2.219120000000000203e+00,1.383989999999999942e-01
2.244143999999999917e+00,1.149000000000000021e-01
2.247501000000000193e+00,1.280229999999999979e-01
2.238955999999999946e+00,1.234449999999999992e-01
2.238345999999999947e+00,1.319909999999999972e-01
2.228580000000000005e+00,1.597619999999999874e-01
2.250858000000000025e+00,1.353479999999999961e-01
2.234072999999999976e+00,1.182570000000000010e-01
2.247196000000000193e+00,1.078810000000000047e-01
2.252689000000000163e+00,1.164260000000000017e-01
2.228580000000000005e+00,1.298539999999999972e-01
2.261845000000000105e+00,1.033040000000000069e-01
2.270694999999999908e+00,1.362629999999999952e-01
2.237429999999999808e+00,1.503009999999999902e-01
2.270084999999999908e+00,1.582359999999999878e-01
2.274052000000000184e+00,1.597619999999999874e-01
2.262455000000000105e+00,1.612879999999999869e-01
2.262760000000000105e+00,1.551839999999999886e-01
2.261845000000000105e+00,1.728850000000000109e-01
2.270999999999999908e+00,1.887540000000000051e-01
2.278325000000000156e+00,1.744110000000000105e-01
2.298772000000000038e+00,1.503009999999999902e-01
2.266728000000000076e+00,1.597619999999999874e-01
2.274052000000000184e+00,1.579309999999999881e-01
2.258487999999999829e+00,1.429769999999999930e-01
2.264896999999999938e+00,1.518269999999999897e-01
2.296635000000000204e+00,1.634240000000000137e-01
2.283818000000000126e+00,1.646450000000000136e-01
2.303960000000000008e+00,1.792940000000000089e-01
2.278935000000000155e+00,1.838710000000000067e-01
2.267338000000000076e+00,1.795990000000000086e-01
2.292972999999999928e+00,1.649500000000000133e-01
2.273442000000000185e+00,1.622030000000000138e-01
2.288396000000000097e+00,1.564049999999999885e-01
2.274967999999999879e+00,1.591519999999999879e-01
2.290836999999999790e+00,1.445029999999999926e-01
2.296635000000000204e+00,1.478599999999999914e-01
2.288089999999999957e+00,1.905850000000000044e-01
2.270999999999999908e+00,1.554889999999999883e-01
2.307316999999999840e+00,1.612879999999999869e-01
2.284733000000000125e+00,1.747160000000000102e-01
2.313724999999999810e+00,2.122529999999999972e-01
2.322271000000000196e+00,2.168309999999999960e-01
2.304570000000000007e+00,2.088959999999999984e-01
2.294499000000000066e+00,2.140839999999999965e-01
2.310062999999999978e+00,2.198829999999999951e-01
2.322881000000000196e+00,1.924160000000000037e-01
2.299992000000000036e+00,1.857020000000000060e-01
2.310674000000000117e+00,1.972990000000000022e-01
2.299382000000000037e+00,2.146939999999999960e-01
2.320133999999999919e+00,2.015720000000000012e-01
2.314640999999999948e+00,2.046229999999999993e-01
2.317692999999999781e+00,2.070649999999999991e-01
2.321965000000000057e+00,2.165259999999999962e-01
2.329289999999999861e+00,2.006560000000000010e-01
2.326848000000000027e+00,1.994350000000000012e-01
2.348211000000000048e+00,2.034030000000000005e-01
2.340580999999999801e+00,2.037080000000000002e-01
2.325628000000000029e+00,2.119479999999999975e-01
2.331730999999999998e+00,2.064549999999999996e-01
2.368352999999999930e+00,2.064549999999999996e-01
2.334477999999999831e+00,2.153049999999999964e-01
2.343633000000000077e+00,2.049290000000000000e-01
2.350347000000000186e+00,2.153049999999999964e-01
2.368352999999999930e+00,2.308689999999999909e-01
