Extracellular,Intracellular_PD1
-7.172000000000000423e-03,-4.019073999999999813e+00
-1.113899999999999960e-02,-4.001068000000000069e+00
-2.914500000000000077e-02,-4.033112000000000030e+00
-2.181999999999999912e-02,-4.045319000000000109e+00
-2.700800000000000076e-02,-4.011444000000000010e+00
-3.203999999999999817e-03,-4.034028000000000169e+00
-1.907400000000000068e-02,-4.010224000000000011e+00
-9.917999999999999733e-03,-4.043182999999999971e+00
-3.203999999999999817e-03,-4.011749000000000009e+00
-7.477000000000000139e-03,-4.062103999999999715e+00
-8.697999999999999135e-03,-4.043792999999999971e+00
-2.120999999999999969e-02,-4.031890999999999892e+00
-3.189100000000000268e-02,-4.003510000000000346e+00
-3.799500000000000099e-02,-4.016022000000000425e+00
-2.853400000000000034e-02,-4.023651000000000089e+00
-3.372200000000000197e-02,-4.013886000000000287e+00
-3.097600000000000006e-02,-4.030059999999999754e+00
-2.761900000000000119e-02,-4.047150000000000247e+00
-3.524800000000000155e-02,-4.016022000000000425e+00
-1.632700000000000123e-02,-4.025483000000000366e+00
-1.083399999999999988e-02,-4.019378999999999813e+00
-1.297000000000000063e-02,-3.994658999999999960e+00
-2.731400000000000147e-02,-4.005340999999999596e+00
-1.297000000000000063e-02,-4.004425000000000345e+00
-2.273599999999999927e-02,-4.029144999999999754e+00
-1.968400000000000011e-02,-4.014496000000000286e+00
-2.670300000000000104e-02,-4.024262000000000228e+00
-2.120999999999999969e-02,-3.991607999999999823e+00
-3.860500000000000043e-02,-4.035859000000000307e+00
-1.083399999999999988e-02,-3.999236999999999931e+00
-1.327500000000000034e-02,-4.011444000000000010e+00
-3.067100000000000035e-02,-4.000458000000000069e+00
-3.219700000000000339e-02,-4.040130999999999695e+00
-1.174900000000000076e-02,-4.026398000000000366e+00
-1.937900000000000039e-02,-3.984894000000000158e+00
-2.853400000000000034e-02,-4.028533999999999615e+00
1.067999999999999939e-03,-4.031585999999999892e+00
-3.463800000000000212e-02,-4.026093000000000366e+00
9.917999999999999733e-03,-4.011444000000000010e+00
-2.578799999999999842e-02,-4.012055000000000149e+00
-9.917999999999999733e-03,-4.007171999999999734e+00
2.487199999999999828e-02,-4.012970000000000148e+00
-1.358099999999999932e-02,-3.996185000000000098e+00
-3.524800000000000155e-02,-3.991302000000000127e+00
-2.181999999999999912e-02,-4.035859000000000307e+00
-3.814999999999999815e-03,-3.997710999999999792e+00
-2.304099999999999898e-02,-4.029449999999999754e+00
-3.372200000000000197e-02,-4.027923999999999616e+00
-3.921600000000000086e-02,-4.021819999999999951e+00
-3.189100000000000268e-02,-4.011139000000000010e+00
-4.135199999999999987e-02,-4.026093000000000366e+00
-3.646900000000000142e-02,-3.987944999999999851e+00
-1.113899999999999960e-02,-4.003204000000000207e+00
-4.226699999999999902e-02,-3.999541999999999931e+00
-4.623499999999999832e-02,-3.980316000000000187e+00
-3.128100000000000325e-02,-3.974823000000000217e+00
-2.548299999999999871e-02,-3.984894000000000158e+00
-1.373000000000000088e-03,-3.977568999999999910e+00
-1.235999999999999946e-02,-4.004425000000000345e+00
-1.541200000000000035e-02,-3.979095000000000049e+00
-2.029399999999999954e-02,-4.011749000000000009e+00
-4.580000000000000195e-04,-3.976653999999999911e+00
-2.884000000000000105e-02,-3.989775999999999989e+00
-1.235999999999999946e-02,-4.013581000000000287e+00
-2.761900000000000119e-02,-3.993438999999999961e+00
-3.402800000000000269e-02,-3.984588000000000019e+00
-2.822900000000000062e-02,-3.992522999999999822e+00
-1.327500000000000034e-02,-4.004120000000000346e+00
-2.395699999999999913e-02,-3.968109000000000108e+00
-1.083399999999999988e-02,-3.987944999999999851e+00
1.327500000000000034e-02,-4.028228999999999616e+00
-1.968400000000000011e-02,-4.029754999999999754e+00
-4.074200000000000044e-02,-3.995270000000000099e+00
-4.592999999999999861e-02,-3.990692000000000128e+00
-5.020199999999999663e-02,-3.989470999999999989e+00
-3.097600000000000006e-02,-4.008697999999999873e+00
-1.876900000000000096e-02,-3.983061999999999880e+00
-2.029399999999999954e-02,-4.021819999999999951e+00
-2.639800000000000132e-02,-3.990082000000000129e+00
-1.113899999999999960e-02,-3.982146999999999881e+00
-1.205499999999999974e-02,-3.979400000000000048e+00
-5.645999999999999977e-03,-3.998931999999999931e+00
-3.005999999999999991e-02,-3.980011000000000188e+00
7.172000000000000423e-03,-4.017547999999999675e+00
-6.866999999999999840e-03,-4.037079000000000306e+00
-3.341700000000000226e-02,-4.017547999999999675e+00
-2.548299999999999871e-02,-3.990692000000000128e+00
-7.477000000000000139e-03,-4.000763000000000069e+00
5.035000000000000413e-03,-3.916227999999999820e+00
-4.928699999999999748e-02,-3.959563999999999862e+00
-5.050700000000000328e-02,-4.001373000000000069e+00
-5.417000000000000287e-02,-3.966277999999999970e+00
-9.384299999999999586e-02,-3.977263999999999911e+00
-1.066610000000000058e-01,-3.961088999999999860e+00
-1.155110000000000026e-01,-3.979706000000000188e+00
-9.903099999999999403e-02,-3.968414000000000108e+00
